timestamp,open,high,low,close
2020-03-10,4.4994,4.5066,4.4991,4.5066
2020-03-06,4.5066,4.5079,4.4991,4.5066
2020-03-04,4.5066,4.5066,4.4991,4.5066
2020-02-28,4.4994,4.5079,4.4991,4.4994
2020-02-24,4.4982,4.4996,4.4982,4.4994
2020-02-18,4.4994,4.4996,4.4994,4.4994
2020-02-17,4.4996,4.4996,4.4994,4.4994
2020-02-14,4.4994,4.4996,4.4994,4.4994
2020-02-13,4.4994,4.4996,4.4994,4.4996
2020-02-12,4.4994,4.4996,4.4994,4.4994
2020-02-11,4.4994,4.4996,4.4994,4.4994
2020-02-10,4.4994,4.4996,4.4994,4.4994
2020-02-07,4.4994,4.4996,4.4994,4.4994
2020-02-06,4.4994,4.4996,4.4994,4.4994
2020-02-05,4.4994,4.4996,4.4994,4.4994
2020-02-04,4.4994,4.4996,4.4994,4.4994
2020-02-03,4.4994,4.4994,4.4994,4.4994
2020-01-31,4.4996,4.4996,4.4982,4.4982
2020-01-30,4.4994,4.4996,4.4982,4.4982
2020-01-29,4.4994,4.4996,4.4994,4.4996
2020-01-28,4.4994,4.4996,4.4994,4.4994
2020-01-27,4.4994,4.4994,4.4994,4.4994
2020-01-24,4.4982,4.4994,4.4982,4.4994
2020-01-23,4.4982,4.4996,4.4982,4.4996
2020-01-22,4.4982,4.4994,4.4982,4.4982
2020-01-21,4.4982,4.4992,4.4982,4.4982
2020-01-17,4.4994,4.4994,4.4994,4.4994
2020-01-16,4.4994,4.4994,4.4994,4.4994
2020-01-15,4.4994,4.4994,4.4994,4.4994
2020-01-14,4.4994,4.4994,4.4992,4.4992
2020-01-13,4.4994,4.4994,4.4992,4.4994
2020-01-10,4.4982,4.4992,4.4982,4.4982
2020-01-09,4.4982,4.4994,4.4982,4.4994
2020-01-08,4.4982,4.4994,4.4982,4.4982
2020-01-07,4.4994,4.4994,4.4982,4.4982
2019-12-30,4.4994,4.4994,4.4989,4.4994
2019-12-27,4.4994,4.4994,4.4989,4.4994
2019-12-26,4.4989,4.4994,4.4989,4.4994
2019-12-25,4.4994,4.4994,4.4994,4.4994
2019-12-24,4.4994,4.4994,4.4991,4.4994
2019-12-20,4.4982,4.4994,4.4982,4.4982
2019-12-19,4.4994,4.4994,4.4982,4.4982
2019-12-18,4.4994,4.4994,4.4992,4.4994
2019-12-17,4.4994,4.4994,4.4992,4.4994
2019-12-16,4.4994,4.4994,4.4989,4.4994
2019-12-13,4.4994,4.4994,4.4991,4.4994
2019-12-12,4.4989,4.4994,4.4989,4.4994
2019-12-11,4.4994,4.4994,4.4987,4.4989
2019-12-10,4.4994,4.4994,4.4987,4.4994
2019-12-09,4.4994,4.4994,4.4987,4.4994
2019-12-06,4.4982,4.4994,4.4982,4.4994
2019-12-05,4.4982,4.4987,4.4982,4.4987
2019-12-04,4.4982,4.4987,4.4982,4.4987
2019-12-03,4.4994,4.4994,4.4982,4.4982
2019-12-02,4.4994,4.4994,4.4992,4.4994
2019-11-29,4.4994,4.4994,4.4991,4.4994
2019-11-28,4.4994,4.4994,4.4994,4.4994
2019-11-27,4.4994,4.4994,4.4992,4.4994
2019-11-26,4.4994,4.4994,4.4992,4.4994
2019-11-25,4.4994,4.4994,4.4991,4.4994
2019-11-21,4.4994,4.4994,4.4992,4.4994
2019-11-20,4.4994,4.4994,4.4991,4.4994
2019-11-19,4.4994,4.4994,4.4989,4.4994
2019-11-18,4.4994,4.4994,4.4989,4.4994
2019-11-15,4.4994,4.4994,4.4991,4.4994
2019-11-14,4.4994,4.4994,4.4992,4.4994
2019-11-13,4.4994,4.4994,4.4994,4.4994
2019-11-08,4.4994,4.4994,4.4982,4.4994
2019-11-07,4.4994,4.4994,4.4982,4.4994
2019-11-06,4.4994,4.4994,4.4992,4.4994
2019-11-05,4.4994,4.4994,4.4994,4.4994
2019-11-04,4.4994,4.4996,4.4994,4.4994
2019-11-01,4.4994,4.4994,4.4982,4.4994
2019-10-31,4.4994,4.4994,4.4982,4.4994
2019-10-30,4.4994,4.4994,4.4994,4.4994
2019-10-29,4.4994,4.4994,4.4992,4.4994
2019-10-28,4.4994,4.4994,4.4994,4.4994
2019-10-25,4.4994,4.4994,4.4992,4.4994
2019-10-24,4.5006,4.5006,4.4994,4.4994
2019-10-23,4.4994,4.5006,4.4994,4.4996
2019-10-22,4.4994,4.4994,4.4992,4.4994
2019-10-21,4.4994,4.4994,4.4992,4.4994
2019-10-18,4.4982,4.4994,4.4982,4.4994
2019-10-17,4.4982,4.4992,4.4982,4.4982
2019-10-16,4.4982,4.4994,4.4982,4.4982
2019-10-15,4.4994,4.4994,4.4982,4.4982
2019-10-14,4.4994,4.4994,4.4994,4.4994
2019-10-11,4.4994,4.4994,4.4994,4.4994
2019-10-10,4.4994,4.4994,4.4982,4.4994
2019-10-09,4.4994,4.5018,4.4994,4.4994
2019-10-08,4.4994,4.5018,4.4994,4.4994
2019-10-07,4.4994,4.5030,4.4994,4.4994
2019-10-04,4.4994,4.5006,4.4994,4.5006
2019-10-03,4.4982,4.5006,4.4982,4.4994
2019-10-02,4.4982,4.5006,4.4982,4.4982
2019-10-01,4.4982,4.5006,4.4982,4.4982
2019-09-30,4.4994,4.4994,4.4982,4.4982
2019-09-27,4.4994,4.5018,4.4994,4.5018
2019-09-26,4.4994,4.5018,4.4994,4.4994
2019-09-25,4.4994,4.5018,4.4994,4.4994
